 VBias, C, G,Record Time,Monitor Unit,Frequency ,Batch ID,Record Date
-5,3.36E-11,0.0006899,  06:59:32, CMU1:MF/SC,1000000 Hz, A15G2,2/5/2025
-4.8,3.42E-11,0.000688876,,,,,
-4.6,3.46E-11,0.000685909,,,,,
-4.4,3.51E-11,0.0006867,,,,,
-4.2,3.56E-11,0.000683593,,,,,
-4,3.58E-11,0.000682309,,,,,
-3.8,3.63E-11,0.000680199,,,,,
-3.6,3.68E-11,0.000677939,,,,,
-3.4,3.73E-11,0.000676165,,,,,
-3.2,3.80E-11,0.000674251,,,,,
-3,3.83E-11,0.000672079,,,,,
-2.8,3.90E-11,0.000669956,,,,,
-2.6,3.98E-11,0.000668311,,,,,
-2.4,4.08E-11,0.000664363,,,,,
-2.2,4.21E-11,0.000663587,,,,,
-2,4.35E-11,0.000663425,,,,,
-1.8,4.45E-11,0.000665343,,,,,
-1.6,4.60E-11,0.000665949,,,,,
-1.4,4.68E-11,0.000667011,,,,,
-1.2,4.79E-11,0.000668751,,,,,
-1,4.92E-11,0.000672244,,,,,
-0.8,5.04E-11,0.000673954,,,,,
-0.6,5.15E-11,0.000677397,,,,,
-0.4,5.20E-11,0.000676589,,,,,
-0.2,5.33E-11,0.000677286,,,,,
0,5.46E-11,0.000668518,,,,,
0.2,5.54E-11,0.000660185,,,,,
0.4,5.65E-11,0.000654962,,,,,
0.6,5.68E-11,0.000646747,,,,,
0.8,5.71E-11,0.000640177,,,,,
1,5.77E-11,0.000636518,,,,,
1.2,5.80E-11,0.000632008,,,,,
1.4,5.84E-11,0.000627306,,,,,
1.6,5.88E-11,0.000623396,,,,,
1.8,5.93E-11,0.000619919,,,,,
2,5.96E-11,0.000612947,,,,,
2.2,5.97E-11,0.000609618,,,,,
2.4,6.01E-11,0.000606545,,,,,
2.6,6.02E-11,0.000602164,,,,,
2.8,6.09E-11,0.00059823,,,,,
3,6.12E-11,0.000593802,,,,,
3.2,6.11E-11,0.000591025,,,,,
3.4,6.12E-11,0.000588343,,,,,
3.6,6.17E-11,0.000583561,,,,,
3.8,6.19E-11,0.000580476,,,,,
4,6.20E-11,0.000576409,,,,,
4.2,6.20E-11,0.000573018,,,,,
4.4,6.24E-11,0.000569836,,,,,
4.6,6.28E-11,0.000566983,,,,,
4.8,6.30E-11,0.000564112,,,,,
5,6.30E-11,0.000559928,,,,,
